Round,Date,Team 1,FT,HT,Team 2
?,(Fri) 1 Sep 2000 (35),Torino FC (1),0-2,0-1,US Anconitana ASD (1)
?,(Sun) 3 Sep 2000 (35),Cagliari Calcio (1),4-0,2-0,FC Crotone (1)
?,(Sun) 3 Sep 2000 (35),AC Chievo Verona (1),1-0,1-0,Genoa CFC (1)
?,(Sun) 3 Sep 2000 (35),Cittadella (1),0-2,0-2,Piacenza Calcio (1)
?,(Sun) 3 Sep 2000 (35),Cosenza Calcio (1),1-0,1-0,Pescara (1)
?,(Sun) 3 Sep 2000 (35),Empoli (1),0-2,0-1,US Pistoiese (1)
?,(Sun) 3 Sep 2000 (35),SS Monza (1),2-3,1-1,Venezia (1)
?,(Sun) 3 Sep 2000 (35),Ravenna FC (1),1-1,0-0,Salernitana (1)
?,(Sun) 3 Sep 2000 (35),UC Sampdoria (1),2-1,0-0,Ternana (1)
?,(Sun) 3 Sep 2000 (35),SS Robur Siena (1),2-0,1-0,ACD Treviso (1)
?,(Sun) 10 Sep 2000 (36),US Anconitana ASD (2),1-0,0-0,SS Monza (2)
?,(Sun) 10 Sep 2000 (36),FC Crotone (2),2-1,1-0,Ravenna FC (2)
?,(Sun) 10 Sep 2000 (36),Genoa CFC (2),1-1,1-1,SS Robur Siena (2)
?,(Sun) 10 Sep 2000 (36),Pescara (2),1-3,0-2,Empoli (2)
?,(Sun) 10 Sep 2000 (36),Piacenza Calcio (2),2-0,2-0,Cosenza Calcio (2)
?,(Sun) 10 Sep 2000 (36),US Pistoiese (2),1-1,0-1,Torino FC (2)
?,(Sun) 10 Sep 2000 (36),Ternana (2),1-0,0-0,AC Chievo Verona (2)
?,(Sun) 10 Sep 2000 (36),ACD Treviso (2),2-3,1-1,Cagliari Calcio (2)
?,(Sun) 10 Sep 2000 (36),Venezia (2),2-2,1-1,Cittadella (2)
?,(Mon) 11 Sep 2000 (37),Salernitana (2),2-3,0-1,UC Sampdoria (2)
?,(Fri) 15 Sep 2000 (37),AC Chievo Verona (3),2-1,1-0,ACD Treviso (3)
?,(Sun) 17 Sep 2000 (37),Cagliari Calcio (3),2-1,0-1,Pescara (3)
?,(Sun) 17 Sep 2000 (37),Cittadella (3),3-1,1-1,Ternana (3)
?,(Sun) 17 Sep 2000 (37),Cosenza Calcio (3),3-0,2-0,FC Crotone (3)
?,(Sun) 17 Sep 2000 (37),Empoli (3),0-0,0-0,Genoa CFC (3)
?,(Sun) 17 Sep 2000 (37),SS Robur Siena (3),4-1,2-1,US Anconitana ASD (3)
?,(Wed) 20 Sep 2000 (38),SS Monza (3),1-0,1-0,Salernitana (3)
?,(Wed) 20 Sep 2000 (38),Ravenna FC (3),0-2,0-0,Piacenza Calcio (3)
?,(Wed) 20 Sep 2000 (38),UC Sampdoria (3),2-2,1-1,US Pistoiese (3)
?,(Wed) 20 Sep 2000 (38),Torino FC (3),0-1,0-1,Venezia (3)
?,(Sun) 24 Sep 2000 (38),FC Crotone (4),0-2,0-0,AC Chievo Verona (4)
?,(Sun) 24 Sep 2000 (38),Pescara (4),1-2,0-1,SS Monza (4)
?,(Sun) 24 Sep 2000 (38),US Pistoiese (4),0-1,0-0,Cittadella (4)
?,(Sun) 24 Sep 2000 (38),Ternana (4),2-0,2-0,Empoli (4)
