Round,Date,Team 1,FT,HT,Team 2
?,(Sat) 30 Aug 2008 (34),UC Sampdoria (1),1-1,0-1,FC Internazionale Milano (1)
?,(Sat) 30 Aug 2008 (34),Udinese Calcio (1),3-1,2-0,Palermo (1)
?,(Sun) 31 Aug 2008 (34),Atalanta BC (1),1-0,1-0,SS Robur Siena (1)
?,(Sun) 31 Aug 2008 (34),Cagliari Calcio (1),1-4,1-0,SS Lazio (1)
?,(Sun) 31 Aug 2008 (34),Calcio Catania (1),1-0,0-0,Genoa CFC (1)
?,(Sun) 31 Aug 2008 (34),AC Chievo Verona (1),2-1,0-0,Urbs Reggina (1)
?,(Sun) 31 Aug 2008 (34),ACF Fiorentina (1),1-1,0-1,Juventus (1)
?,(Sun) 31 Aug 2008 (34),AC Milan (1),1-2,1-1,Bologna FC (1)
?,(Sun) 31 Aug 2008 (34),AS Roma (1),1-1,1-0,SSC Napoli (1)
?,(Sun) 31 Aug 2008 (34),Torino FC (1),3-0,2-0,US Lecce (1)
?,(Sat) 13 Sep 2008 (36),FC Internazionale Milano (2),2-1,1-1,Calcio Catania (2)
?,(Sat) 13 Sep 2008 (36),Palermo (2),3-1,1-1,AS Roma (2)
?,(Sun) 14 Sep 2008 (36),Bologna FC (2),0-1,0-1,Atalanta BC (2)
?,(Sun) 14 Sep 2008 (36),Genoa CFC (2),2-0,1-0,AC Milan (2)
?,(Sun) 14 Sep 2008 (36),Juventus (2),1-0,0-0,Udinese Calcio (2)
?,(Sun) 14 Sep 2008 (36),SS Lazio (2),2-0,1-0,UC Sampdoria (2)
?,(Sun) 14 Sep 2008 (36),US Lecce (2),2-0,0-0,AC Chievo Verona (2)
?,(Sun) 14 Sep 2008 (36),SSC Napoli (2),2-1,0-1,ACF Fiorentina (2)
?,(Sun) 14 Sep 2008 (36),Urbs Reggina (2),1-1,1-1,Torino FC (2)
?,(Sun) 14 Sep 2008 (36),SS Robur Siena (2),2-0,1-0,Cagliari Calcio (2)
?,(Sat) 20 Sep 2008 (37),Calcio Catania (3),1-0,0-0,Atalanta BC (3)
?,(Sat) 20 Sep 2008 (37),AS Roma (3),3-0,1-0,Urbs Reggina (3)
?,(Sun) 21 Sep 2008 (37),Cagliari Calcio (3),0-1,0-1,Juventus (3)
?,(Sun) 21 Sep 2008 (37),ACF Fiorentina (3),1-0,1-0,Bologna FC (3)
?,(Sun) 21 Sep 2008 (37),US Lecce (3),1-1,0-1,SS Robur Siena (3)
?,(Sun) 21 Sep 2008 (37),AC Milan (3),4-1,2-1,SS Lazio (3)
?,(Sun) 21 Sep 2008 (37),Palermo (3),2-1,1-0,Genoa CFC (3)
?,(Sun) 21 Sep 2008 (37),UC Sampdoria (3),1-1,0-0,AC Chievo Verona (3)
?,(Sun) 21 Sep 2008 (37),Torino FC (3),1-3,0-2,FC Internazionale Milano (3)
?,(Sun) 21 Sep 2008 (37),Udinese Calcio (3),0-0,0-0,SSC Napoli (3)
?,(Wed) 24 Sep 2008 (38),Atalanta BC (4),1-0,0-0,Cagliari Calcio (4)
?,(Wed) 24 Sep 2008 (38),Bologna FC (4),0-3,0-2,Udinese Calcio (4)
?,(Wed) 24 Sep 2008 (38),AC Chievo Verona (4),1-1,0-1,Torino FC (4)
?,(Wed) 24 Sep 2008 (38),Genoa CFC (4),3-1,1-1,AS Roma (4)
?,(Wed) 24 Sep 2008 (38),FC Internazionale Milano (4),1-0,0-0,US Lecce (4)
