Date,Team 1,Team 2,FT,HT
2008-08-30,Sampdoria,Inter,1-1,0-1
2008-08-30,Udinese,Palermo,3-1,2-0
2008-08-31,Atalanta,Siena,1-0,1-0
2008-08-31,Cagliari,Lazio,1-4,1-0
2008-08-31,Catania,Genoa,1-0,0-0
2008-08-31,Chievo,Reggina,2-1,0-0
2008-08-31,Fiorentina,Juventus,1-1,0-1
2008-08-31,Milan,Bologna,1-2,1-1
2008-08-31,Roma,Napoli,1-1,1-0
2008-08-31,Torino,Lecce,3-0,2-0
2008-09-13,Inter,Catania,2-1,1-1
2008-09-13,Palermo,Roma,3-1,1-1
2008-09-14,Bologna,Atalanta,0-1,0-1
2008-09-14,Genoa,Milan,2-0,1-0
2008-09-14,Juventus,Udinese,1-0,0-0
2008-09-14,Lazio,Sampdoria,2-0,1-0
2008-09-14,Lecce,Chievo,2-0,0-0
2008-09-14,Napoli,Fiorentina,2-1,0-1
2008-09-14,Reggina,Torino,1-1,1-1
2008-09-14,Siena,Cagliari,2-0,1-0
2008-09-20,Catania,Atalanta,1-0,0-0
2008-09-20,Roma,Reggina,3-0,1-0
2008-09-21,Cagliari,Juventus,0-1,0-1
2008-09-21,Fiorentina,Bologna,1-0,1-0
2008-09-21,Lecce,Siena,1-1,0-1
2008-09-21,Milan,Lazio,4-1,2-1
2008-09-21,Palermo,Genoa,2-1,1-0
2008-09-21,Sampdoria,Chievo,1-1,0-0
2008-09-21,Torino,Inter,1-3,0-2
2008-09-21,Udinese,Napoli,0-0,0-0
2008-09-24,Atalanta,Cagliari,1-0,0-0
2008-09-24,Bologna,Udinese,0-3,0-2
2008-09-24,Chievo,Torino,1-1,0-1
2008-09-24,Genoa,Roma,3-1,1-1
2008-09-24,Inter,Lecce,1-0,0-0
2008-09-24,Juventus,Catania,1-1,1-0
2008-09-24,Lazio,Fiorentina,3-0,0-0
2008-09-24,Napoli,Palermo,2-1,1-0
2008-09-24,Reggina,Milan,1-2,0-1
2008-09-24,Siena,Sampdoria,0-0,0-0
2008-09-27,Fiorentina,Genoa,1-0,0-0
2008-09-27,Sampdoria,Juventus,0-0,0-0
2008-09-28,Bologna,Napoli,0-1,0-0
2008-09-28,Catania,Chievo,1-0,1-0
2008-09-28,Lecce,Cagliari,2-0,1-0
2008-09-28,Milan,Inter,1-0,1-0
2008-09-28,Palermo,Reggina,1-0,0-0
2008-09-28,Roma,Atalanta,2-0,2-0
2008-09-28,Torino,Lazio,1-3,0-1
2008-09-28,Udinese,Siena,2-1,2-1
2008-10-04,Inter,Bologna,2-1,1-0
2008-10-04,Lazio,Lecce,1-1,0-1
2008-10-05,Atalanta,Sampdoria,4-2,2-1
2008-10-05,Cagliari,Milan,0-0,0-0
2008-10-05,Chievo,Fiorentina,0-2,0-1
2008-10-05,Genoa,Napoli,3-2,1-1
2008-10-05,Juventus,Palermo,1-2,1-1
2008-10-05,Reggina,Catania,1-1,0-0
2008-10-05,Siena,Roma,1-0,1-0
2008-10-05,Udinese,Torino,2-0,1-0
2008-10-18,Fiorentina,Reggina,3-0,1-0
2008-10-18,Napoli,Juventus,2-1,0-0
2008-10-19,Bologna,Lazio,3-1,3-0
2008-10-19,Catania,Palermo,2-0,0-0
2008-10-19,Chievo,Atalanta,1-1,1-0
2008-10-19,Genoa,Siena,1-0,1-0
2008-10-19,Lecce,Udinese,2-2,1-0
2008-10-19,Milan,Sampdoria,3-0,0-0
2008-10-19,Roma,Inter,0-4,0-1
2008-10-19,Torino,Cagliari,0-1,0-0
2008-10-25,Juventus,Torino,1-0,0-0
2008-10-25,Siena,Catania,1-1,0-0
2008-10-26,Atalanta,Milan,0-1,0-0
2008-10-26,Cagliari,Chievo,2-0,1-0
